Title,Author,Genres,Plot,Vote Average,Vote Count,Release Date,Large Cover URL
In One Person,John Irving,"Domestic fiction, Psychological fiction, Bisexual men, Fiction, Large type books, Fiction, family life, Fiction, psychological, American fiction (fictional works by one author), LGBTQ novels, Lambda Literary Awards, Lambda Literary Award Winner, nyt:combined-print-and-e-book-fiction=2012-05-27, New York Times bestseller, New York Times reviewed, Fiction, family life, general","A New York Times bestselling novel of desire, secrecy, and sexual identity, In One Person is a story of unfulfilled love—tormented, funny, and affecting—and an impassioned embrace of our sexual differences. Billy, the bisexual narrator and main character of In One Person, tells the tragicomic story (lasting more than half a century) of his life as a ""sexual suspect,"" a phrase first used by John Irving in 1978 in his landmark novel of ""terminal cases,"" The World According to Garp.

In One Person is a poignant tribute to Billy’s friends and lovers—a theatrical cast of characters who defy category and convention. Not least, In One Person is an intimate and unforgettable portrait of the solitariness of a bisexual man who is dedicated to making himself ""worthwhile.""",3.7,86,1913,http://covers.openlibrary.org/b/id/7104999-L.jpg
Truly Madly Guilty,Liane Moriarty,"Couples, Friendship, Fiction, Large type books, Fiction, psychological, Fiction, women, Fiction, family life, Friendship, fiction, nyt:combined-print-and-e-book-fiction=2016-08-14, New York Times bestseller, Fiction, family life, general, Romans, nouvelles, Amitié, Livres en gros caractères, Large print books, FICTION, Contemporary Women","Six responsible adults. Three cute kids. One small dog. It’s just a normal weekend. What could possibly go wrong?

Sam and Clementine have a wonderful, albeit, busy life: they have two little girls, Sam has just started a new dream job, and Clementine, a cellist, is busy preparing for the audition of a lifetime. If there’s anything they can count on, it’s each other.

Clementine and Erika are each other’s oldest friends. A single look between them can convey an entire conversation. But theirs is a complicated relationship, so when Erika mentions a last minute invitation to a barbecue with her neighbors, Tiffany and Vid, Clementine and Sam don’t hesitate. Having Tiffany and Vid’s larger than life personalities there will be a welcome respite.

Two months later, it won’t stop raining, and Clementine and Sam can’t stop asking themselves the question: What if we hadn’t gone?

In Truly Madly Guilty, Liane Moriarty takes on the foundations of our lives: marriage, sex, parenthood, and friendship. She shows how guilt can expose the fault lines in the most seemingly strong relationships, how what we don’t say can be more powerful than what we do, and how sometimes it is the most innocent of moments that can do the greatest harm.v",3.0,11,2016,http://covers.openlibrary.org/b/id/10182518-L.jpg
Explosive eighteen,Janet Evanovich,"Stephanie Plum (Fictitious character), Women bounty hunters, Fiction, New York Times bestseller, nyt:hardcover_fiction=2012-02-11, Stephanie Plum (Fictional character), Large print books, Plum, stephanie (fictitious character), fiction, Fiction, mystery & detective, women sleuths, Trenton (n.j.), fiction, Fiction, humorous, general, Large type books, Murder, Investigation, Triangles (Interpersonal relations)","Before Stephanie can even step foot off Flight 127 Hawaii to Newark, she’s knee deep in trouble. Her dream vacation turned into a nightmare, and she’s flying back to New Jersey solo. Worse still, her seatmate never returned to the plane after the L.A. layover. Now he’s dead—and a ragtag collection of thugs and psychos, not to mention the FBI, are all looking for a photograph he was supposed to be carrying.",3.6,14,2011,http://covers.openlibrary.org/b/id/6980153-L.jpg
First Comes Marriage,Mary Balogh,"Fiction, Romance, Historical, Regency, Man-woman relationships, fiction, Aristocracy (Social class), fiction, Widows, fiction, nyt:mass-market-paperback=2009-03-15, New York Times bestseller","Against the scandal and seduction of Regency England, New York Times bestselling author Mary Balogh introduces an extraordinary family--the fiery, sensual Huxtables. Vanessa is the second daughter, proud and daring, a young widow who has her own reason for pursuing the most eligible bachelor in London. One that has nothing to do with love. Or does it? The arrival of Elliott Wallace, the irresistibly eligible Viscount Lyngate, has thrown the country village of Throckbridge into a tizzy. Desperate to rescue her eldest sister from a loveless union, Vanessa Huxtable Dew offers herself instead. In need of a wife, Elliott takes the audacious widow up on her unconventional proposal while he pursues an urgent mission of his own. But a strange thing happens on the way to the wedding night. Two strangers with absolutely nothing in common can't keep their hands off each other. Now, as intrigue swirls around a past secret--one with a stunning connection to the Huxtables--Elliott and Vanessa are uncovering the glorious pleasures of the marriage bed...and discovering that when it comes to wedded bliss, love can't be far behind. From the Paperback edition.",3.7,8,2008,http://covers.openlibrary.org/b/id/6659198-L.jpg
When Did You See Her Last?,"Lemony Snicket, Seth","Children's fiction, Humorous stories, Mystery and detective stories, Missing persons, fiction, Fiction, Missing persons, Juvenile fiction, Investigation, Apprentices, nyt:childrens-middle-grade=2013-11-03, New York Times bestseller, Missing children, Secret societies, Personas desaparecidas, Materiales en español, Novela juvvenil","I should have asked the question ""How could someone who was missing be in two places at once?"" Instead, I asked the wrong question -- four wrong questions, more or less. This is the account of the second.

In the fading town of Stain'd-by-the-Sea, young apprentice Lemony Snicket has a new case to solve when he and his chaperone are hired to find a missing girl. Is the girl a runaway? Or was she kidnapped? Was she seen last at the grocery store? Or could she have stopped at the diner? Is it really any of your business? These are All The Wrong Questions. (",3.9,33,2013,http://covers.openlibrary.org/b/id/7441143-L.jpg
The Sense of Style,Steven Pinker,"English language, writing style, grammar, Style, LANGUAGE ARTS & DISCIPLINES / Style Manuals, LANGUAGE ARTS & DISCIPLINES / Grammar & Punctuation, REFERENCE / Writing Skills, English language, grammar, English language, style, nyt:combined-print-and-e-book-nonfiction=2014-10-19, New York Times bestseller, New York Times reviewed, Grammar, Writing, Anglais (Langue), Stylistique, Écriture, Writing (processes), LANGUAGE ARTS & DISCIPLINES, Composition & Creative Writing, Rhetoric, REFERENCE, Writing Skills, Style Manuals, Grammar & Punctuation, Englisch, Schreiben, Schriftlicher Ausdruck, Wetenschapsbeoefening, Engelska språket, Grammatik, English language--style, English language--grammar, Language arts & disciplines / style manuals, Language arts & disciplines / grammar & punctuation, Reference / writing skills, English language--writing, Pe1421 .p56 2014, 808/.042, Lan028000 lan006000 ref026000","A guide to writing English informed by recent scholarship (linguistics, cognative science, and such like).",4.9,14,2014,http://covers.openlibrary.org/b/id/7366712-L.jpg
The ghost and the bogus bestseller,Cleo Coyle,"Women booksellers, Murder, Investigation, Detective and mystery stories, Fiction, Fiction, mystery & detective, general","After an elegant new customer has a breakdown in her shop, Penelope suspects there is something bogus behind the biggest bestseller of the year. This popular potboiler is so hot that folks in her tiny Rhode Island town are dying to read it--literally. First one customer turns up dead, followed by another mysterious fatality connected to the book, which Pen discovers is more than just fiction. Now, with the help of her gumshoe ghost, Pen must solve the real-life cold case behind the bogus bestseller before the killer closes the book on her.",3.3,9,2018,http://covers.openlibrary.org/b/id/12427695-L.jpg
The Library Book,Susan Orlean,"Libraries, Los Angeles Public Library, Arson, History, Libraries and society, Libraries, united states, Los angeles (calif.), history, nyt:combined-print-and-e-book-nonfiction=2018-11-04, New York Times bestseller, New York Times reviewed, Fire, 1986, Public libraries, Arson investigation, Books, Library materials, Social aspects, HISTORY / United States / 20th Century, HISTORY / Social History, Los Angeles Public Library. Central Library, Fires","The Library Book alternates between a true-crime work on the suspicion of arson in the 1986 fire at the Los Angeles Central Library; and a broader history of that library and Orlean's personal devotion to libraries in general, especially as the site of fond memories she shared with her mother.",4.2,11,2018,http://covers.openlibrary.org/b/id/8260536-L.jpg
Look Me in the Eye,John Elder Robison,"Asperger's syndrome, Biography, Biography & Autobiography, Mental health, Nonfiction, Patients, Psychology, Large type books, nyt:paperback-nonfiction=2008-10-05, New York Times bestseller, Asperger Syndrome, Mental healthrobison, john elder, Asperger syndrome, Asperger's syndrome--patients, Asperger's syndrome--patients--united states--biography, Rc553.a88 r635 2007, 362.196/8588320092 b, 616.8588","Ever since he was small, John Robison had longed to connect with other people, but by the time he was a teenager, his odd habits--an inclination to blurt out non sequiturs, avoid eye contact, dismantle radios, and dig five-foot holes (and stick his younger brother in them)--had earned him the label ""social deviant."" No guidance came from his mother, who conversed with light fixtures, or his father, who spent evenings pickling himself in sherry. It was no wonder he gravitated to machines, which could, at least, be counted on.After fleeing his parents and dropping out of high school, his savant-like ability to visualize electronic circuits landed him a gig with KISS, for whom he created their legendary fire-breathing guitars. Later, he drifted into a ""real"" job, as an engineer for a major toy company. But the higher Robison rose in the company, the more he had to pretend to be ""normal"" and do what he simply couldn't: communicate. It wasn't worth the paycheck.It was not until he was forty that an insightful therapist told him he had the form of autism called Asperger's syndrome. That understanding transformed the way Robison saw himself--and the world.Look Me in the Eye is the moving, darkly funny story of growing up with Asperger's at a time when the diagnosis simply didn't exist. A born storyteller, Robison takes you inside the head of a boy whom teachers and other adults regarded as ""defective,"" who could not avail himself of KISS's endless supply of groupies, and who still has a peculiar aversion to using people's given names (he calls his wife ""Unit Two""). He also provides a fascinating reverse angle on the younger brother he left at the mercy of their nutty parents--the boy who would later change his name to Augusten Burroughs and write the bestselling memoir Running with Scissors.Ultimately, this is the story of Robison's journey from his world into ours, and his new life as a husband, father, and successful small business owner--repairing his beloved high-end automobiles. It's a strange, sly, indelible account--sometimes alien, yet always deeply human.From the Hardcover edition.",3.0,42,2007,http://covers.openlibrary.org/b/id/10738516-L.jpg
Seeds of Rebellion,Brandon Mull,"Action, Adventure, Fantasy, Fantasy Fiction, Fiction, Juvenile Fiction, Magic, Children's fiction, Heroes, fiction, Magic, fiction, Revolutions, fiction, Fantasy fiction, Space and time, fiction, Wizards, fiction, Revolutions, Juvenile fiction, Heroes, Space and time, nyt:chapter-books=2012-04-01, New York Times bestseller","After Jason succeeds in finding a way back to Lyrian, he's immediately in more danger than ever. Meanwhile, Rachel and the others have made their own progress--as well as discovered new enemies. As the group ultimately rejoins, they strive to convince their most needed ally to join the war and form a rebellion strong enough to triumph against the emperor.


----------
**Books in this series**

 1. [A World Without Heroes][1]
 2. Seeds of Rebellion
 3. [Chasing the Prophecy][3]

  [1]: https://openlibrary.org/works/OL15688543W
  [3]: https://openlibrary.org/works/OL17553159W",4.0,6,2012,http://covers.openlibrary.org/b/id/9395209-L.jpg
Behold the Dreamers (Oprah's Book Club): A Novel,"Imbolo Mbue, Sarah Tardy","Family secrets, Cameroonians, Families, Upper class, Global Financial Crisis (2008-2009) fast (OCoLC)fst01755654, Immigrants, Global Financial Crisis, 2008-2009, Fiction, Family life, Cameroon, United States, Family, Novels (form), 18.06 Anglo-American literature, FICTION, Cultural Heritage, Family Life, Literary, Secrecy, Financial crises, New York Times reviewed, Fiction, family life, Fiction, coming of age, Fiction, cultural heritage, Upper class families, Immigrant families, Large type books, nyt:combined-print-and-e-book-fiction=2017-07-16, New York Times bestseller, Fiction, family life, general, Church and college, New york (n.y.), fiction","When Jende Jonga journeys to New York City from Cameroon in 2004 on a visitors' visa in hopes of obtaining a green card, he's sure his life will only improve. After saving up enough money to bring over Jende's wife, Neni, and six-year-old son, the family moves into an apartment in Harlem. Then Jende hits the jackpot in 2007 when he lands a job as a chauffeur for Clark Edwards, a wealthy Lehman Brothers executive. But working for the Edwardses isn't as cushy and above board as Jende expected. Clark's long hours at the office and frequent late-night ""appointments"" at the Chelsea Hotel raise red flags with his wife, Cindy. When Neni agrees to accompany the Edwards family to Southampton as a temporary nanny for their youngest son, she learns far more than she bargained for about Cindy's fragile mental state. Before long, the pressure of keeping what they know about Clark and Cindy -- and the threat of deportation -- becomes too much for the Jongas to bear, threatening the stability of their marriage and their ability to remain in a country they still can't call home.",3.2,13,2016,http://covers.openlibrary.org/b/id/8467822-L.jpg
Sarah's Key,Tatiana de Rosnay,"Vel' d'Hiv Roundup, Nazis, Family secrets, Jews, Anniversaries, Fiction, Women authors, Americans, New York Times bestseller, World War, 1939-1945, nyt:trade_fiction_paperback=2009-02-28, History, historical fiction, World War (1939-1945), German Occupation of France (1940-1945), France, German occupation, 1940-1945, Paris (France), Romans, nouvelles, Guerre mondiale, 1939-1945, Juifs, Vel'd'Hiv, Rafle du, 1942, Histoire, Fiction, historical, Jews, fiction, World war, 1939-1945, fiction, Women journalists, fiction, Paris (france), fiction, Secrecy, Collaborationists, Persecutions, Large type books, Fiction, historical, general, Authors, fiction, French fiction, Jews--france--fiction, World war, 1939-1945--anniversaries, etc, World war, 1939-1945--france--anniversaries, etc--fiction, Americans--france--fiction, Women authors--fiction, Family secrets--fiction, Pr9105.9.r66 s27 2007, 823/.914","Paris, July 1942: Sarah, a ten year-old girl, is brutally arrested with her family by the French police in the Vel' d'Hiv' roundup, but not before she locks her younger brother in a cupboard in the family's apartment, thinking that she will be back within a few hours.

Paris, May 2002: On Vel' d'Hiv's 60th anniversary, journalist Julia Jarmond is asked to write an article about this black day in France's past. Through her contemporary investigation, she stumbles onto a trail of long-hidden family secrets that connect her to Sarah. Julia finds herself compelled to retrace the girl's ordeal, from that terrible term in the Vel d'Hiv', to the camps, and beyond. As she probes into Sarah's past, she begins to question her own place in France, and to reevaluate her marriage and her life.

Tatiana de Rosnay offers us a brilliantly subtle, compelling portrait of France under occupation and reveals the taboos and silence that surround this painful episode.
([source][1])


  [1]: http://www.tatianaderosnay.com/index.php/books/elle-s-appelait-sarah",3.6,45,2006,http://covers.openlibrary.org/b/id/8370189-L.jpg
Abandon,Meg Cabot,"Greek Mythology, Family life, Fiction, Hades (Greek deity), Near-death experiences, Persephone (Greek deity), Supernatural, High schools, Schools, Families, Juvenile fiction, Children's fiction, Supernatural, fiction, Schools, fiction, Family life, fiction, Florida, fiction, Paranormal fiction, Romance & relationships stories (Children's / Teenage), Legends, Myths, Fables / Greek & Roman *, Legends, Myths, Fables / Greek & Roman, Love & Romance, Paranormal, nyt:chapter-books=2011-05-15, New York Times bestseller, New York Times reviewed, Legends, Myths, Fables, Greek & Roman, Paranormal, Occult & Supernatural","Though she tries returning to the life she knew before the accident, Pierce can't help but feel at once a part of this world, and apart from it. Yet she's never alone . . . because someone is always watching her. Escape from the realm of the dead is impossible when someone there wants you back. 

But now she's moved to a new town. Maybe at her new school, she can start fresh. Maybe she can stop feeling so afraid. 

Only she can't. Because even here, he finds her. That's how desperately he wants her back. She knows he's no guardian angel, and his dark world isn't exactly heaven, yet she can't stay away . . . especially since he always appears when she least expects it, but exactly when she needs him most.

But if she lets herself fall any further, she may just find herself back in the one place she most fears: the Underworld",4.3,29,2011,http://covers.openlibrary.org/b/id/6777058-L.jpg
"Sexe, romance et best-sellers",Nina Killham,,"Auteur à succès de romans à l'eau de rose sous le nom de Céleste d'Arcy, Jack Carter est un romantique qui entend se réserver pour le grand amour et vit seul avec ses personnages. Sa soeur lui demande d'héberger Molly, une amie déjantée aux moeurs débridées.",4.4,110,2006,http://covers.openlibrary.org/b/id/11399029-L.jpg
Bestsellers in Nineteenth-Century America,,,"Bestsellers in Nineteenth Century America seeks to produce for students novels, poems and other printed material that sold extremely well when they first appeared in the United States. Many of the most famous American works of the nineteenth century that we know today ? such as Herman Melville?s Moby-Dick ? were not widely read when they first appeared. This collection seeks to offer its readers a glimpse at the literature that lit up the literary horizon when the works were first published, leading to insights on key cultural aspects of the nineteenth-century United States and its literary culture.",3.7,1,,
My life in France,Julia Child,"Biography, Biography & Autobiography, Cookery, French, Cooking & Food, Cooks, French Cookery, Nonfiction, French Cooking, Child, julia, 1912-2004, Cooking, french, Cooks, biography, France, biography, nyt:paperback-nonfiction=2009-07-19, New York Times bestseller","Julia Child singlehandedly created a new approach to American cuisine with her cookbook Mastering the Art of French Cooking and her television show The French Chef, but as she reveals in this bestselling memoir, she was not always a master chef. Indeed, when she first arrived in France in 1948 with her husband, Paul, who was to work for the USIS, she spoke no French and knew nothing about the country itself. But as she dove into French culture, buying food at local markets and taking classes at the Cordon Bleu, her life changed forever with her newfound passion for cooking and teaching. Julia's unforgettable story -- struggles with the head of the Cordon Bleu, rejections from publishers to whom she sent her now-famous cookbook, a wonderful, nearly fifty-year long marriage that took them across the globe -- unfolds with the spirit so key to her success as a chef and a writer, brilliantly capturing one of the most endearing American personalities of the last fifty years.From the Trade Paperback edition.",3.5,17,2006,http://covers.openlibrary.org/b/id/745378-L.jpg
The Sandman - Overture,"Neil Gaiman, J. H. Williams III","nyt:hardcover-graphic-books=2015-11-29, New York Times bestseller, Comics & graphic novels, horror, Literature, Sandman (Legendary character), Comic books, strips, Creation","Presents the Sandman's origin story from the birth of a galaxy to the moment that Morpheus is captured.

 set the standard for mature, lyrical fantasy in the modern comics era. Illustrated by an exemplary selection of the medium's most gifted artists, the series is a rich blend of modern and ancient mythology in which contemporary fiction, historical drama, and legend are seamlessly interwoven.

*Overture* brings Gaiman's mesmerizing saga of the Sandman full circle, serving as both a prequel and a coda to the groundbreaking original series. Lushly illustrated by acclaimed artist J.H. Williams III, this stunning tale follows the King of Dreams as he travels across the universe--and into realms unbounded by time and space--on a fateful mission to prevent all of reality from unraveling.",3.1,10,2002,http://covers.openlibrary.org/b/id/9150699-L.jpg
"Year of Magical Thinking, The","Joan Didion, Barbara Caruso","Dunne, john gregory, 1932-2003, Grief, Journalists, biography, Loss (psychology), Mothers and daughters, Widows, Authors, biography, American Novelists, Biography, Death and burial, Drama, Family, Family relationships, Fiction, Journalists, Marriage, National Book Award Winner, award:national_book_award=2005, award:national_book_award=nonfiction, Life Change Events, Attitude to Death, Rouw, Ehe, Family Relations, Family Health, Verlies (psychologie), Familie, Long Now Manual for Civilization, Critically ill, Women journalists, Mothers, Families, Authors, american, Journalists, united states, Large type books, New York Times reviewed, American drama (dramatic works by one author), nyt:combined-print-and-e-book-nonfiction=2022-01-16, New York Times bestseller, Medical, General","""this happened on December 30, 2003. That may seem a while ago but it won't when it happens to you . . .""In this dramatic adaptation of her award-winning, bestselling memoir (which Michiko Kakutani in The New York Times called ""an indelible portrait of loss and grief . . . a haunting portrait of a four-decade-long marriage), Joan Didion transforms the story of the sudden and unexpected loss of her husband and their only daughter into a stunning and powerful one-woman play.The first theatrical production of The Year of Magical Thinking opened at the Booth Theatre on March 29, 2007, starring Vanessa Redgrave and directed by David Hare.From the Trade Paperback edition.",3.1,13,2005,http://covers.openlibrary.org/b/id/13693-L.jpg
Elephants cannot dance!,Mo Willems,"Fiction, Humorous stories, Elephants, Dance, Pigs in fiction, Elephants in fiction, Pigs, Dance in fiction, Swine, nyt:picture-books=2009-06-28, New York Times bestseller, Children's fiction, Elephants, fiction, Pigs, fiction, Dance, fiction, Juvenile fiction",Gerald the elephant is certain that he cannot dance but his friend Piggie convinces him to try.,4.0,9,2009,http://covers.openlibrary.org/b/id/6306557-L.jpg
Day of the Dragon King,"Sal Murdocca, Mary Pope Osborne, Bartomeu Seguí i Nicolau, Macarena Salas","Tree houses, Magic, Juvenile fiction, History, Time travel, Fiction, New York Times bestseller, nyt:series_books=2007-03-10, Ancient Civilizations, Readers, Chapter Books, Children's fiction, Fantasy fiction, China, fiction, Magic, fiction, Tree houses, fiction, Time travel, fiction, Hermanos, Brothers and sisters, Magia, Historia, Spanish language materials, Ficción juvenil, Viaje a través del tiempo, Cabañas en los árboles, Kings and rulers, Eruption, 79, Youth, fiction",The magic treehouse takes Jack and Annie back two thousand years to ancient China where they must find the original copy of an old legend before the Imperial Library is burned down by the evil Dragon King.,4.3,31,1998,http://covers.openlibrary.org/b/id/6978834-L.jpg
Nick & Norah's Infinite Playlist,"Rachel Cohn, David Levithan","Fiction, Homosexuality, Juvenile fiction, Love, Rock groups, Love stories, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, Children's fiction, Love, fiction, New york (n.y.), fiction, Rock music, fiction, nyt:paperback-books=2008-10-05, New York Times bestseller, Romance fiction","It all starts when Nick asks Norah to be his girlfriend for five minutes. He only needs five minutes to avoid his ex-girlfriend, who's just walked in to his band's show. With a new guy. And then, with one kiss, Nick and Norah are off on an adventure set against the backdrop of New York City--and smack in the middle of all the joy, anxiety, confusion, and excitement of a first date.This he said/she said romance told by YA stars Rachel Cohn and David Levithan is a sexy, funny roller coaster of a story about one date over one very long night, with two teenagers, both recovering from broken hearts, who are just trying to figure out who they want to be--and where the next great band is playing.Told in alternating chapters, teeming with music references, humor, angst, and endearing side characters, this is a love story you'll wish were your very own. Working together for the first time, Rachel Cohn and David Levithan have combined forces to create a book that is sure to grab readers of all ages and never let them go.From the Hardcover edition.",4.0,18,2006,http://covers.openlibrary.org/b/id/233189-L.jpg
100 Deadly Skills,Clint Emerson,"survival, reference, how-to, United states, navy, seals, Survival, United States, United States. Navy. SEALs, Combat survival, Handbooks, manuals, nyt:espionage=2015-11-08, New York Times bestseller","A hands-on, practical survival guide from retired Navy SEAL Clint Emerson—adapted for civilians from actual special forces operations—to eluding pursuers, evading capture, and surviving any dangerous situation.",2.9,11,2015,http://covers.openlibrary.org/b/id/8178187-L.jpg
These Truths,Jill Lepore,"history, Politics and government, State & Local, Modern, Civil rights, Histoire, Historiographie, Verite comme consensus, Politique et gouvernement, Droits civils et politiques, HISTORY / Modern, HISTORY / United States / State & Local, United states, history, United states, politics and government, Civil rights, united states, nyt:combined-print-and-e-book-nonfiction=2018-10-07, New York Times bestseller, New York Times reviewed, History, HISTORY, Vérité comme consensus, State & local, History / modern, History / united states / state & local, Nyt:combined-print-and-e-book-nonfiction=2018-10-07, New york times bestseller, New york times reviewed","""In the most ambitious one-volume American history in decades, award-winning historian ... Jill Lepore offers a magisterial account of the origins and rise of a divided nation, an urgently needed reckoning with the beauty and tragedy of American history. Written in elegiac prose, Lepore's groundbreaking investigation places truth itself--a devotion to facts, proof, and evidence--at the center of the nation's history. The American experiment rests on three ideas--'these truths, ' Jefferson called them--political equality, natural rights, and the sovereignty of the people. And it rests, too, on a fearless dedication to inquiry, Lepore argues, because self-government depends on it. But has the nation, and democracy itself, delivered on that promise? [This book] tells this uniquely American story, beginning in 1492, asking whether the course of events over more than five centuries has proven the nation's truths, or belied them. To answer that question, Lepore traces the intertwined histories of American politics, law, journalism, and technology, from the colonial town meeting to the nineteenth-century party machine, from talk radio to twenty-first-century Internet polls, from Magna Carta to the Patriot Act, from the printing press to Facebook News. Along the way, Lepore's sovereign chronicle is filled with arresting sketches of both well-known and lesser-known Americans, from a parade of presidents and a rogues' gallery of political mischief makers to the intrepid leaders of protest movements, including Frederick Douglass, the famed abolitionist orator; William Jennings Bryan, the three-time presidential candidate and ultimately tragic populist; Pauli Murray, the visionary civil rights strategist; and Phyllis Schlafly, the uncredited architect of modern conservatism. Americans are descended from slaves and slave owners, from conquerors and the conquered, from immigrants and from people who have fought to end immigration. 'A nation born in contradiction will fight forever over the meaning of its history, ' Lepore writes, but engaging in that struggle by studying the past is part of the work of citizenship. 'The past is an inheritance, a gift and a burden, ' [this book] observes. 'It can't be shirked. 'There's nothing for it but to get to know it'""--Jacket.",3.7,5,2018,http://covers.openlibrary.org/b/id/11153287-L.jpg
The Red Pyramid,Orpheus Collar,"Magic, Brothers and sisters, Adventure and adventurers, Secrets, Graphic novels, Fiction, Voyages and travels, Egyptian Mythology, Adaptations, gods, Exciting, Adventure and adventurers, fiction, Voyages and travels, fiction, Magic, fiction, Brothers and sisters, fiction, Comic books, strips, etc., Fantasy fiction, Fantasy comic books, strips, Cartoons and comics, Seth (Egyptian deity), Egyptologists, Romans graphiques, nyt:paperback-graphic-books=2012-10-28, New York Times bestseller, Children's fiction, Siblings, fiction","The Red Pyramid is a 2010 fantasy-adventure novel based on Egyptian mythology written by Rick Riordan. It is the first novel in The Kane Chronicles series. The novel was first published in the United States on May 4, 2010, by Hyperion Books for Children, an imprint of Disney Publishing Worldwide.",2.8,17,2012,http://covers.openlibrary.org/b/id/7386546-L.jpg
Miecz przeznaczenia,Andrzej Sapkowski,"Fiction, fantasy, general, New York Times bestseller, Fiction, fantasy, short stories, Polish Fantasy fiction","Geralt is a witcher, a man whose magic powers, enhanced by long training and a mysterious elixir, have made him a brilliant fighter and a merciless assassin. Yet he is no ordinary murderer: his targets are the multifarious monsters and vile fiends that ravage the land and attack the innocent.

This is a collection of short stories, following the adventures of the hit collection THE LAST WISH. Join Geralt as he battles monsters, demons and prejudices alike...",3.4,31,1992,http://covers.openlibrary.org/b/id/6757701-L.jpg
Undercover Princess,Suzanne Brockmann,"Fiction, Suspense, Suspense & Adventure, Fiction, romance, contemporary","""THE NAME'S WIND, KATHY WIND....""With those words, Princess Katherine Wyndham went from sensible sister to secret agent. Her mission: to locate her brother—the long-lost crown prince. Her cover: nanny for handsome tycoon Trey Sutherland.Caring for Trey's kids came more naturally than any royal duty. And falling for the brooding widower was effortless. But Katherine had always been the plain-Jane princess. Was it too much to hope that he could want a happily-ever-after with her...especially once he discovered who she really was?",4.5,91,2008,http://covers.openlibrary.org/b/id/6409692-L.jpg
The Cat Who Talked Turkey                            Thorndike Paperback Bestsellers,Lilian Jackson Braun,"Jim Qwilleran (Fictitious character), Journalists, Moose County (Imaginary place), Fiction, Millionaires, Country life, Cat owners, Cats, Yum Yum (Fictitious character : Braun), Siamese cat, Large type books, Koko (Fictitious character)","It’s almost time for the gala groundbreaking for the Pickax bookstore–and the town of Brrr is preparing for its bicentennial celebration. All the festivities, however, are spoiled by the discovery of a man’s body on James Qwilleran’s property. Could it be the work of the killer who used the same methods in northern Michigan? To solve the case, Qwill and his feline pals, Koko and Yum Yum, will have to prick up their ears and determine who committed this foul deed.",4.1,25,,http://covers.openlibrary.org/b/id/7830361-L.jpg
The Brief Wondrous Life of Oscar Wao,Junot Díaz,"National Book Critics Circle Award Winner, award:national_book_critics_circle_award=2007, award:national_book_critics_circle_award=fiction, Dominican Americans, Fiction, Large type books, Charms, Literary, Rites and ceremonies, Literature, love, families, Fiction, cultural heritage, Dominican americans, fiction, New jersey, fiction, Open Library Staff Picks, Dominicano-americanos, Novela doméstica, Novela, Familia, Ficción, Reading Level-Grade 11, Reading Level-Grade 12, Overweight men, Dominicas americanas, Dominican Americans -- Fiction, nyt:trade-fiction-paperback=2008-09-21, New York Times bestseller, Fiction, family life, general, Dominican americans--fiction, Ps3554.i259 b75 2007, 813/.54, Charms--fiction, Ps3554.i259 b75 2008, Américains d'origine dominicaine, Mœurs et coutumes, Conditions sociales, Romans, nouvelles, Famille, Hommes obèses, Misfits (Persons), Eccentrics and eccentricities, Loss (Psychology), Interpersonal relations","Things have never been easy for Oscar. A ghetto nerd living with his Dominican family in New Jersey, he's sweet but disastrously overweight. He dreams of becoming the next J. R. R. Tolkien and he keeps falling hopelessly in love. Poor Oscar may never get what he wants, thanks to the Fuku - the curse that has haunted his family for generations. 

With dazzling energy and insight Díaz immerses us in the tumultuous lives of Oscar, his runaway sister Lola, their beautiful mother Belicia, and in the family's uproarious journey from the Dominican Republic to the US and back. 

Rendered with uncommon warmth and humour, *The Brief Wondrous Life of Oscar Wao* is a literary triumph, that confirms Junot Díaz as one of the most exciting writers of our time.",3.7,18,2007,http://covers.openlibrary.org/b/id/12451659-L.jpg
